type,number,X/E,Y/N,Z/U
obstacle_zones,4,234373.111891,2502111.890057,0.972796
obstacle_zones,4,234373.158733,2502111.866481,0.972716
obstacle_zones,4,234373.173791,2502111.824165,0.972013
obstacle_zones,4,234373.186678,2502111.755599,0.970781
obstacle_zones,4,234373.188480,2502111.650417,0.968746
obstacle_zones,4,234373.182044,2502111.359608,0.963027
obstacle_zones,4,234373.179474,2502111.200173,0.959900
obstacle_zones,4,234373.169574,2502111.128487,0.958423
obstacle_zones,4,234373.146137,2502111.085071,0.957387
obstacle_zones,4,234373.077523,2502111.059946,0.956342
obstacle_zones,4,234372.948135,2502111.062138,0.955337
obstacle_zones,4,234372.729630,2502111.069346,0.953708
obstacle_zones,4,234372.527145,2502111.093807,0.952545
obstacle_zones,4,234372.343949,2502111.121446,0.951600
obstacle_zones,4,234372.348917,2502111.321149,0.955532
obstacle_zones,4,234372.362655,2502111.522456,0.959566
obstacle_zones,4,234372.380792,2502111.671113,0.962609
obstacle_zones,4,234372.386492,2502111.807712,0.965317
obstacle_zones,4,234372.394616,2502111.877675,0.966746
risk_zones,1,234381.634510,2502115.081445,1.103996
risk_zones,1,234382.182966,2502115.027982,1.107395
risk_zones,1,234382.466132,2502114.924649,1.107674
risk_zones,1,234382.663455,2502114.754817,1.105963
risk_zones,1,234382.796584,2502114.389002,1.099913
risk_zones,1,234382.769126,2502113.947761,1.091092
risk_zones,1,234382.708860,2502113.364370,1.079236
risk_zones,1,234382.699775,2502113.011159,1.072280
risk_zones,1,234382.642361,2502112.815063,1.067994
risk_zones,1,234382.582482,2502112.466110,1.060710
risk_zones,1,234382.508880,2502112.107196,1.053120
risk_zones,1,234382.212200,2502111.792835,1.044592
risk_zones,1,234381.898629,2502111.692818,1.040104
risk_zones,1,234381.488064,2502111.675990,1.036451
risk_zones,1,234380.974602,2502111.796816,1.034648
risk_zones,1,234380.534354,2502112.042117,1.035863
risk_zones,1,234380.305213,2502112.341603,1.039843
risk_zones,1,234380.164319,2502112.646390,1.044641
risk_zones,1,234380.124849,2502112.932469,1.049896
risk_zones,1,234380.169197,2502113.159366,1.054677
risk_zones,1,234380.384191,2502113.454725,1.062173
risk_zones,1,234380.660696,2502113.779621,1.070743
risk_zones,1,234380.724124,2502113.928047,1.074149
risk_zones,1,234380.748515,2502114.179067,1.079237
risk_zones,1,234380.748191,2502114.369346,1.082943
risk_zones,1,234380.696690,2502114.540106,1.085853
risk_zones,1,234380.704844,2502114.835571,1.091676
risk_zones,1,234380.962483,2502115.041866,1.097783
risk_zones,1,234381.197209,2502115.088855,1.100599
